Zona,Provincia,Canton,Distrito,Circuito,Fecha Infracci¢n,Hora Infracci¢n,tipo_muert_matriz,Edad,Sexo,Estado Civil,Nacionalidad
ZONA 7,EL_ORO,PASAJE,PASAJE,LAS PRADERAS,17/4/2014,0:00,Asesinatos,25,FEMENINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,SALITRE,SALITRE,SALITRE SAUCES,3/3/2014,12:00,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,LA ESPERANZA,1/1/2014,16:00,Asesinatos,51,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,SAN_JACINTO_DE_YAGUACHI,YAGUACHI,VIRGEN DE FATIMA,13/3/2014,12:30,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,SUR,GUASMO,10/4/2014,18:30,Asesinatos,32,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,LOS CHILLOS,AMAGUA¥A CENTRO,5/2/2014,11:45,Homicidios,34,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,PUEBLO_VIEJO,PUEBLOVIEJO,PUEBLO VIEJO,21/3/2014,20:00,Asesinatos,29,MASCULINO,CASADO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,SAN MATEO,17/1/2014,8:00,Asesinatos,48,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,MILAGRO,MILAGRO,ALMEIDA,7/3/2014,10:00,Asesinatos,48,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,EL_GUABO,PASAJE,LA IBERIA,6/5/2014,23:00,Homicidios,14,FEMENINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,MOCACHE,QUEVEDO,MOCACHE,7/2/2014,0:00,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,EUGENIO ESPEJO,I¥AQUITO,26/3/2014,15:30,Homicidios,57,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,PUEBLO_VIEJO,PUEBLOVIEJO,PUEBLO VIEJO,21/3/2014,20:00,Asesinatos,46,MASCULINO,SOLTERO,ECUADOR
ZONA 7,LOJA,MACARA,MACARA,MACARA,19/4/2014,19:00,Asesinatos,38,MASCULINO,CASADO,ECUADOR
ZONA 9,PICHINCHA,QUITO,LOS CHILLOS,AMAGUA¥A CENTRO,5/2/2014,11:45,Homicidios,63,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,BABAHOYO,BABAHOYO,UNIVERSIDAD,27/1/2014,5:40,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,ARENILLAS,HUAQUILLAS,LA LIBERTAD,4/1/2014,14:00,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,MANUELA SAENZ,PANECILLO,25/4/2014,23:00,Homicidios,38,MASCULINO,SOLTERO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,LA_CONCORDIA,LA CONCORDIA,MONTE REY,21/4/2014,23:30,Asesinatos,23,FEMENINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,ISIDRO_AYORA,PEDRO CARBO,ISIDRO AYORA,13/3/2014,20:30,Asesinatos,77,MASCULINO,VIUDO,ECUADOR
ZONA 6,CANAR,LA_TRONCAL,LA TRONCAL,TRONCAL CENTRO,11/4/2014,21:30,Asesinatos,52,MASCULINO,CASADO,ECUADOR
ZONA 3,COTOPAXI,SAN_MIGUEL_DE_SALCEDO,SALCEDO,SALCEDO,14/2/2014,2:00,Homicidios,19,MASCULINO,NO DETERMINADO,ECUADOR
ZONA 1,ESMERALDAS,ESMERALDAS,ESMERALDAS,CENTRO,30/4/2014,17:15,Asesinatos,58,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,VINCES,VINCES,VINCES SUR,25/2/2014,18:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,PEDRO_CARBO,PEDRO CARBO,PEDRO CARBO,25/2/2014,0:00,Homicidios,22,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,ESTEROS,13/3/2014,20:00,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 6,CANAR,BIBLIAN,AZOGUES,BIBLIAN,19/4/2014,21:00,Homicidios,17,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VENTANAS,VENTANAS,VENTANAS SUR,2/2/2014,18:00,Asesinatos,40,MASCULINO,CASADO,ECUADOR
ZONA 5,GUAYAS,EL_TRIUNFO,EL TRIUNFO BUCAY,EL TRIUNFO ESTE,21/4/2014,20:00,Homicidios,8,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,PEDRO_CARBO,PEDRO CARBO,PEDRO CARBO,4/4/2014,12:00,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 1,CARCHI,SAN_PEDRO_DE_HUACA,TULCAN,SAN PEDRO DE HUACA,27/4/2014,15:00,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,ESTEROS,ESTEROS,13/3/2014,20:00,Asesinatos,44,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,QUININDE,QUININDE,QUININDE,9/3/2014,12:00,Homicidios,10,FEMENINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,PEDRO_CARBO,PEDRO CARBO,PEDRO CARBO,4/4/2014,12:00,Asesinatos,32,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,QUEVEDO,QUEVEDO,DIVINO NI¥O,18/3/2014,19:10,Asesinatos,25,MASCULINO,UNION LIBRE,ECUADOR
ZONA 5,LOS_RIOS,SAN_JACINTO_DE_BUENA_FE,BUENA FE,FUMISA,31/3/2014,10:00,Asesinatos,50,MASCULINO,CASADO,ECUADOR
ZONA 5,GUAYAS,PALESTINA,BALZAR,PALESTINA,8/4/2014,22:00,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
ZONA 3,CHIMBORAZO,ALAUSI,ALAUSI,TIXAN,22/2/2014,1:00,Asesinatos,31,FEMENINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,NARANJAL,NARANJAL BALAO,NARANJAL SUR,20/1/2014,5:30,Asesinatos,53,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,PUEBLO_VIEJO,PUEBLOVIEJO,PUEBLO VIEJO,21/3/2014,7:15,Asesinatos,31,MASCULINO,CASADO,ECUADOR
ZONA 1,ESMERALDAS,MUISNE,ATACAMES,CHAMANGA,12/4/2014,21:00,Asesinatos,26,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,EL_EMPALME,EL EMPALME,EMPALME CENTRO,9/3/2014,21:30,Asesinatos,48,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,NARANJAL,NARANJAL BALAO,NARANJAL SUR,12/4/2014,21:15,Asesinatos,18,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,EL_TRIUNFO,EL TRIUNFO BUCAY,EL TRIUNFO ESTE,8/3/2014,19:30,Asesinatos,51,FEMENINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,CALDERON,SAN JUAN DE CALDERON,7/2/2014,13:45,Homicidios,28,MASCULINO,SOLTERO,ECUADOR
ZONA 8,GUAYAS,GUAYAQUIL,CEIBOS,LOS CEIBOS,15/2/2014,23:00,Asesinatos,27,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,SAN_JACINTO_DE_BUENA_FE,BUENA FE,PATRICIA PILAR,14/1/2014,15:00,Asesinatos,39,FEMENINO,DIVORCIADO,ECUADOR
ZONA 3,COTOPAXI,LA_MANA,LA MANA,LA MANA SUR,21/2/2014,8:00,Homicidios,53,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,SALITRE,SALITRE,VERNAZA,24/4/2014,22:00,Asesinatos,42,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,VALENCIA,BUENA FE,LA NUEVA UNION,26/1/2014,0:00,Asesinatos,20,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,BABAHOYO,BABAHOYO,MATA DE CACAO,7/3/2014,8:22,Asesinatos,57,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,LA DELICIA,PONCIANO,7/2/2014,0:30,Homicidios,26,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,PALENQUE,VINCES,PALENQUE,2/2/2014,5:15,Asesinatos,39,MASCULINO,SOLTERO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO OESTE,EL PROLETARIADO,29/3/2014,2:15,Homicidios,56,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,19/1/2014,22:45,Asesinatos,40,MASCULINO,CASADO,ECUADOR
ZONA 5,GUAYAS,BALZAR,BALZAR,BALZAR CENTRO,2/3/2014,20:30,Homicidios,37,MASCULINO,CASADO,ECUADOR
ZONA 9,PICHINCHA,QUITO,ELOY ALFARO,MAGDALENA,25/2/2014,13:40,Homicidios,42,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,PEDRO_CARBO,PEDRO CARBO,PEDRO CARBO,20/3/2014,23:45,Asesinatos,28,MASCULINO,SOLTERO,ECUADOR
ZONA 5,LOS_RIOS,BABAHOYO,BABAHOYO,MATA DE CACAO,2/3/2014,18:00,Homicidios,36,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,CALDERON,CALDERON,9/4/2014,20:30,Asesinatos,35,MASCULINO,SOLTERO,COLOMBIA
ZONA 5,LOS_RIOS,VINCES,VINCES,VINCES SUR,12/4/2014,23:50,Asesinatos,54,MASCULINO,SOLTERO,ECUADOR
ZONA 6,CANAR,LA_TRONCAL,LA TRONCAL,TRONCAL NORTE,15/2/2014,3:20,Homicidios,37,MASCULINO,DIVORCIADO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,19/1/2014,22:45,Asesinatos,49,MASCULINO,CASADO,ECUADOR
ZONA 1,ESMERALDAS,MUISNE,ATACAMES,GALERAS,14/1/2014,3:00,Asesinatos,41,FEMENINO,SOLTERO,ECUADOR
ZONA 4,MANABI,MANTA,MANTA,LA PRADERA,28/1/2014,18:10,Asesinatos,38,FEMENINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,SAN_JACINTO_DE_BUENA_FE,BUENA FE,PATRICIA PILAR,23/2/2014,21:30,Asesinatos,32,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,15/1/2014,21:00,Asesinatos,33,MASCULINO,SOLTERO,ECUADOR
ZONA 7,EL_ORO,MACHALA,MACHALA,9 DE MAYO,15/2/2014,9:00,Homicidios,45,MASCULINO,SOLTERO,ECUADOR
ZONA 7,LOJA,LOJA,LOJA,CHONTACRUZ,24/4/2014,18:30,Asesinatos,54,MASCULINO,CASADO,ECUADOR
ZONA 4,SANTO_DOMINGO_DE_LOS_TSACHILAS,SANTO_DOMINGO,SANTO DOMINGO ESTE,CENTRO,18/4/2014,21:00,Homicidios,27,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,SAN_JACINTO_DE_YAGUACHI,YAGUACHI,VIRGEN DE FATIMA,11/3/2014,5:00,Homicidios,37,MASCULINO,SOLTERO,ECUADOR
ZONA 1,ESMERALDAS,SAN_LORENZO,SAN LORENZO,FRONTERA,19/1/2014,22:45,Asesinatos,47,MASCULINO,CASADO,ECUADOR
ZONA 3,COTOPAXI,SIGCHOS,SIGCHOS,SIGCHOS,14/2/2014,2:00,Asesinatos,29,MASCULINO,SOLTERO,ECUADOR
ZONA 9,PICHINCHA,QUITO,ELOY ALFARO,MENA,28/2/2014,19:00,Homicidios,45,MASCULINO,CASADO,ECUADOR
ZONA 5,LOS_RIOS,VENTANAS,VENTANAS,VENTANAS NORTE,12/3/2014,21:00,Homicidios,41,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,DAULE,DAULE,JUAN BAUTISTA AGUIRRE,4/4/2014,9:00,Asesinatos,44,MASCULINO,SOLTERO,ECUADOR
ZONA 5,GUAYAS,DAULE,DAULE,JUAN BAUTISTA AGUIRRE,4/4/2014,9:00,Asesinatos,19,MASCULINO,SOLTERO,ECUADOR
